1651812,4021827,-1637024
826655,1770023,386818
-733333,2470150,2839768
-1013476,3357111,2730329
-3062004,-2772451,-438957
-2095640,3181152,-2450646
1650521,145044,1949805
-2966124,849527,1100732
1752482,-378148,4461529
2965043,1725684,265840
375539,1592671,-1084993
-4795719,2374791,-1270524
1111546,-3436372,3456133
-2056066,4702213,-3677318
4057769,4341404,-1550740
-2006313,-1492390,-2599345
-3762271,2833616,-3683683
-4422266,2653498,3123024
-2439125,-4929728,3851737
-2154961,-2835222,4623978
-1880264,-88138,-3952260
3325096,-3509416,4950490
-681460,1981464,-2932847
-442201,3064771,-3084880
3110461,-639187,-3745470
-3021016,4956464,3965708
4815839,827417,-933013
-1470748,-1069722,-4170534
1174655,-2384614,3816748
2831000,2347659,983414
-3533502,1060703,1269029
-3308186,-381580,2948991
1928666,3299192,-3410951
7560,2128473,-3314766
4370465,391768,1938692
4733877,-2093680,3514742
1987580,3689785,-2774927
1470203,1972177,-81474
412517,-2520473,639798
-2126736,-1657806,-3976430
3383151,219652,-3467279
2071363,2355018,2691837
-2936010,2389309,-2965833
848772,694222,3949006
183469,4571567,-3691643
3394715,-3113932,-524529
4801079,793635,4929623
-41933,-3719130,-91977
4734210,480055,3548342
-152868,-2407502,-1586055
-202569,-3722266,3546552
-104846,-2010269,-1742408
3071362,4480995,-3619419
4508777,2919107,670534
3768316,2178846,-3685566
3705857,2691050,-1592057
-1120421,474280,-3565184
3896851,-4835889,3937482
2105027,4778575,-502785
-1353691,-1426872,4192778
-4085374,4122389,2611658
1227906,-4903164,-2771690
-3277119,-4575644,-3613282
-2978546,-2999617,-2205276
-1325193,1968799,2566836
1901961,-663542,-1931265
-1827343,-1656067,1709526
-1814764,187431,3441138
-1899768,-2945631,-1076541
-1057383,-4398382,1491759
-816928,2543880,4970616
104015,3822896,-4436046
-4043867,-4270691,-4874659
3930446,-3590625,-1692241
-971013,-3256514,748780
-4791550,-1293372,1420370
-2220224,3348486,-3854768
-4626011,1189292,-4132653
2620287,2360675,-4729442
-2485167,4360761,1307607
-1310987,-4564262,3319474
627475,-1116474,2864010
-4365501,3338802,-4042547
2259435,-2764031,-618772
3214293,-2430507,-3120397
-2889836,-903533,3473552
-2200923,3841100,2603050
4474491,3466057,4868667
4451411,-86542,-3558341
3359811,-4437229,-1352779
-1301053,-4990111,3445797
-2653934,-4425727,-1527212
4301791,-1531351,1861683
1559177,1554572,434047
652769,3079460,2690469
2846367,-3598479,3652377
-3518294,-3891621,4141595
-4192556,2930519,-1306681
1585248,-3951657,3270399
-1587197,-3380477,-3036186
-4034786,-2093509,-4812295
2156012,-3488857,-1787323
-1791617,1150073,780542
-4613253,-1625098,3343906
-803241,2577257,3299053
-4303006,590180,-3086296
-2871974,-942361,-1756309
-3432025,-677266,-3133249
1790417,-2656093,1036262
1453883,2190298,2457990
2151197,-1464239,4659961
-4479406,4599016,-4579379
-2577406,-3953067,252869
3060037,-3015571,2861850
-4285418,4262376,52323
-1917739,-1433734,-2133316
813377,3684351,4535403
-392321,1021223,4631470
-501817,4196732,-1426500
-2891230,1146238,-2040786
-3894209,4589556,-4689706
-651962,3366185,4959046
4203125,283034,3125773
1305679,-4991533,1314479
2758863,4543732,3099482
4401720,823605,1022628
2745729,-3737765,-2923294
-814119,807508,44432
-2655354,2793563,-424908
-4579750,577176,1898479
-4376865,-3975475,-3975884
-2831858,-637715,-3004600
13801,-3360363,-598278
-2669218,-2333549,-2158252
2449500,-3233653,-1325518
-2457656,-3658879,-1007305
229742,4882515,2310016
1181384,-2909234,-2065545
-441352,-649573,-219838
4673499,-3254275,-3729081
2088463,3322310,4553170
-3444022,-3072653,3970553
-3940752,-708720,-4695459
1188607,1160884,4123516
-10681,438031,-2275735
3306373,3242967,4262972
-3094329,2925515,4433138
4915322,4939215,1807780
4757697,3375129,-4644009
4778712,4870905,2093702
-1019272,4682329,-3799639
-4539007,-406414,3013665
-3898050,989882,3758909
-982983,1720416,1508489
4922868,-4406016,-1189698
2007431,-3009141,2234754
-2967155,3576820,-2859859
93109,-4360122,2047327
-2098735,-964968,137548
4140587,3635587,3886944
-3483771,4495608,3994913
-2298189,1290453,-4014576
320634,4234114,-3722457
769847,-927641,671847
2589944,3857897,4449986
-673499,-184032,-3015015
1585522,-4149722,-2021356
-2322732,-4576689,524680
-1730590,-3035117,3371362
-2129965,1955166,4364661
-629733,3182902,4378127
1170408,917629,-4332672
2146582,-1952311,953252
3471640,-1367094,4014389
3239056,1838545,659865
4355319,4562172,-4017558
1194485,458258,4843479
1706277,-4333032,-4980164
4810082,2295788,-3620294
1475353,3862543,751909
-4127945,-4579475,3488905
2988441,-3939549,-1693878
2190295,-4449620,-505091
4890948,2568937,-4069860
1504900,2139065,4614842
-699041,-1249135,-626866
4595939,-2261871,2612999
143330,4866520,1836079
-2328791,4736986,365709
2656233,4143869,-2561231
-2140090,4686503,4412032
592520,2641973,-77125
-3847963,3994001,4258288
4604465,-4677200,-4870048
-1219544,4826893,-2308664
-3115466,4033477,3018605
-881556,1953210,-472336
-1371390,3485343,-3488806
-3112583,92782,1951567
-4063963,-1444211,2053365
-3489548,247451,1070858
-414842,4113834,-2378050
85858,4539265,-4757673
-2390296,-2499344,-718650
-1077432,-4344117,-4190380
3169447,1217851,592026
4166084,4467195,-3982960
2705923,-909781,2566511
1485168,-4630378,569408
-2417346,-364049,-450262
-1081575,4025373,4965832
-993716,1680728,2665264
3128026,1793884,-4227493
3373220,9106,2585690
3501275,-1342407,-3793142
3595,-4129859,3113530
4679813,-1578553,387996
-3233568,-492425,-2600107
3553563,92601,2367654
-2196154,-3112008,-1375813
4496068,-867505,4049192
2860421,-236978,-53617
-3869373,582320,3921387
-3564563,-1076552,1735427
3476930,894445,827675
74782,1656616,-2307585
-957419,1397470,-4215564
1293757,-3159917,-2768173
3038938,-226981,-1269568
1607209,4106449,-2369913
-4011561,-66104,-4191655
4622860,-3425712,-709940
-1145376,-2424158,-2886755
4913826,-2807785,-3031601
-2588913,-3295513,-4493608
406910,-4318814,-3919139
-122571,1820356,577307
1709739,543667,-1901741
-3092835,-2754971,2441915
3850192,3664842,1575558
4340737,-923495,-138884
4502695,3402441,-635996
-2207852,-605627,-3732775
1893960,4882551,-3894030
-1734405,-3511350,3402552
3136223,-840255,-1147774
-2120565,4369246,-2107109
1773786,2147639,1402273
2380238,-2213080,-4816246
-149422,-1138197,4909657
-3398674,984150,-2312816
-4586596,-3547550,1149167
-3761179,4014028,-3087009
-60432,3069238,3558354
3824149,-3038149,3880962
-3852349,-1218111,1262146
1797534,918428,500514
1874309,2668457,325969
2721052,-58980,-2865622
-3431526,48384,-2899488
3047489,4717347,4061357
-1516496,1473148,-2664591
-4348847,173861,510728
146761,-2383362,-3473131
-3008645,3052834,1225862
4344997,4039225,1614374
-3546797,-4625815,381513
1705169,-3288337,-47541
-4828494,-564078,-3174705
-3826067,-2449076,4964118
497383,-1092128,1138968
-386078,-3996432,-1391122
2718588,3517435,-3295751
1442857,4105794,-3635432
2499333,-3178588,1348218
4312807,548611,-4176329
-1770180,3445130,2110454
-2080295,-4660017,-3870426
99179,3557621,4134850
3208470,-582450,-765202
-1076019,2854786,1950074
2939314,-3655458,-2234954
3444613,-4666349,-4874565
50236,-4861810,3028489
4428016,463066,-161926
637672,3796519,4743566
1987054,3137783,-3959415
-379319,-3821120,-2615037
-1055317,-719401,3708990
23617,-1524250,-2493475
2673125,-2940357,-859442
4157677,1880123,-273844
2196320,-948935,-2731850
2473868,-1594539,821390
-2852788,-932799,-3010154
-1881207,3231308,4022192
-537089,1669104,-2204574
-2515896,-3615603,-4466759
3162572,-1422210,-4021583
630736,3799016,3692218
3881626,2591042,-4131980
3001799,796573,871240
1340072,-1398074,1060167
-3139447,-705818,1878897
1417419,-3097115,2495366
-1214416,-373624,-1761861
3178545,-484078,4882967
-4794383,1187128,-1882412
-3762574,1417825,3216955
389857,-308003,-2444557
-1124737,-1074120,-436197
847768,1833639,2030055
-1350593,-2003918,2789771
2777798,1815260,-3302872
2574830,-1026340,-3264586
4100673,-720476,3805372
2768156,3795727,3997345
3002913,3895078,-4184654
4755772,3620268,-305461
-1658764,-2319050,4938994
-2296375,-321604,2143104
-3366577,-4145917,3631488
-4776089,-1007771,-396182
3523407,1768889,-778502
1141113,-2087624,1526156
-2381999,614680,-4396602
3688441,4441402,961512
4416821,3449243,2021542
-1493368,-2240968,251907
482018,-3894331,-2557325
-672993,-3222820,4795949
-4556061,-339321,-3732157
2727447,-2495672,4680643
782740,3637846,2615711
3566574,-2470431,-4298219
3278150,1982257,-4024214
-335237,2577816,-4898270
1255576,1179280,-4186187
2577708,-605968,-2435777
-3608799,2348649,-2401779
-105633,4678627,-2595758
1886653,-4501264,4239069
1782347,-661192,896181
-4570056,-2055486,-166218
3729530,-133840,1689686
4929912,3776372,-4228033
3554993,-2290155,-589456
4565820,2257048,406689
2191010,238348,749776
4312946,-3697798,-1747509
4330588,-1635197,3914575
-2325253,-604768,-4688480
-1222796,4344716,633975
761052,1065879,1986841
-1744046,-4590970,3170465
1596209,646877,-2442851
-3740247,-4280411,-3925058
2827591,652103,-3064626
1161462,-3231902,1490491
-2230317,2042798,1712599
3364216,4277260,-3080898
1119776,2886927,-4491661
-3052398,-4309588,-1781894
-2938314,-745467,1547148
2844995,-2812827,4486378
-2191210,1636011,-4449667
-754375,-972240,4003917
3293298,-1764401,3386256
4978604,986835,-3033491
-1111448,3887259,-1798465
2348956,846054,2391519
-2055330,1886267,2662345
-3986607,4285448,-3713628
1215636,-1649010,-2690657
3767897,431853,1438600
-145680,-861788,37929
3964156,-1329606,-4474447
2031482,-4618639,-881971
4277025,470481,1151545
-502627,552155,4351736
2616796,-3530802,-941853
3744739,2782595,-3184116
